ALERT! Timestamp: 2025-07-28 16:56:16, Frame: 88, Motion Energy: 978.88, Hand Speed: 136.78
ALERT! Timestamp: 2025-07-28 16:56:16, Frame: 90, Motion Energy: 1134.89, Hand Speed: 134.30
ALERT! Timestamp: 2025-07-28 16:56:16, Frame: 92, Motion Energy: 639.57, Hand Speed: 130.24
ALERT! Timestamp: 2025-07-28 16:56:17, Frame: 98, Motion Energy: 1152.57, Hand Speed: 80.08
ALERT! Timestamp: 2025-07-28 16:56:17, Frame: 100, Motion Energy: 2670.35, Hand Speed: 93.77
ALERT! Timestamp: 2025-07-28 16:56:19, Frame: 116, Motion Energy: 664.94, Hand Speed: 110.69
ALERT! Timestamp: 2025-07-28 16:56:19, Frame: 118, Motion Energy: 743.92, Hand Speed: 59.22
ALERT! Timestamp: 2025-07-28 16:56:20, Frame: 130, Motion Energy: 852.69, Hand Speed: 112.23
ALERT! Timestamp: 2025-07-28 16:56:21, Frame: 138, Motion Energy: 782.79, Hand Speed: 114.87
ALERT! Timestamp: 2025-07-28 17:05:43, Frame: 46, Motion Energy: 4080.18, Hand Speed: 113.75
ALERT! Timestamp: 2025-07-28 17:05:43, Frame: 48, Motion Energy: 3185.25, Hand Speed: 112.44
ALERT! Timestamp: 2025-07-28 17:05:54, Frame: 8, Motion Energy: 785.75, Hand Speed: 87.96
ALERT! Timestamp: 2025-07-28 17:06:21, Frame: 150, Motion Energy: 946.98, Hand Speed: 63.18
ALERT! Timestamp: 2025-07-28 17:41:42, Frame: 8, Motion Energy: 785.75, Hand Speed: 87.96
ALERT! Timestamp: 2025-07-28 18:26:24, Frame: 4, Motion Energy: 1176.29, Hand Speed: 49.76
ALERT! Timestamp: 2025-07-28 18:26:32, Frame: 86, Motion Energy: 737.91, Hand Speed: 69.56
ALERT! Timestamp: 2025-07-28 18:26:33, Frame: 88, Motion Energy: 957.84, Hand Speed: 73.51
ALERT! Timestamp: 2025-07-28 18:26:34, Frame: 96, Motion Energy: 646.52, Hand Speed: 76.52
ALERT! Timestamp: 2025-07-28 18:27:56, Frame: 8, Motion Energy: 785.75, Hand Speed: 87.96
ALERT! Timestamp: 2025-07-28 18:28:37, Frame: 150, Motion Energy: 946.98, Hand Speed: 63.18
